101.05     -9.9675e-06     1.04732635371454e-05
201.05     7.18605e-05     1.16125753494434e-05
301.05     2.975516e-05    1.70162690352498e-05
401.05     1.15004e-06     1.73687163567145e-05
501.05     -4.24548e-05    1.96876274108614e-05
601.05     2.73228e-05     1.71831742391474e-05
102.05     -1.13658e-05    6.53285725719612e-06
202.05     7.01958e-05     7.51981462849318e-06
302.05     2.083912e-05    1.09406744933665e-05
402.05     -1.967192e-05   1.08414629847544e-05
502.05     -3.29127e-05    1.15468274752332e-05
602.05     3.92097e-05     1.17256659044508e-05
103.05     -1.706163e-05   4.65978426738835e-06
203.05     5.811573e-05    5.07870461383609e-06
303.05     1.157317e-05    7.95811297291638e-06
403.05     -1.518707e-05   7.83397055200618e-06
503.05     -3.62875e-05    8.63601229413784e-06
603.05     3.14525e-05     8.49020119528978e-06
104.05     -9.4206e-06     3.5264822445179e-06
204.05     5.88786e-05     3.85890283330638e-06
304.05     7.472922e-06    6.20266194171502e-06
404.05     -1.5751062e-05  6.31492430067059e-06
504.05     -3.523365e-05   6.46818326843017e-06
604.05     2.402115e-05    6.61412117533388e-06
105.05     -2.843e-07   2.69782556604388e-06
205.05     5.49133e-05     2.9273920244477e-06
305.05     3.34326e-06     4.61211025611921e-06
405.05     -1.194906e-05   4.84075534504689e-06
505.05     -3.042875e-05   5.03089856804925e-06
605.05     2.074525e-05    5.13976512011979e-06
106.05     -1.1038e-06     2.13310468271016e-06
206.05     4.92098e-05     2.28627115876486e-06
306.05     -2.166e-07      3.67809604034479e-06
406.05     -6.0606e-06     3.82766884069142e-06
506.05     -2.507979e-05   4.0144413342332e-06
606.05     1.814349e-05    4.13792087623724e-06
107.05     -1.1694e-06     1.69870397093932e-06
207.05     4.09554e-05     1.80740765610999e-06
307.05     -7.7073e-07     2.91291000908027e-06
407.05     -5.18697e-06    3.02306945222898e-06
507.05     -2.596136e-05   3.33604938824353e-06
607.05     1.905016e-05    3.38930920407094e-06
108.05     6.5622e-06      1.42625406007345e-06
208.05     4.54038e-05     1.53450705102192e-06
308.05     -8.7526e-07     2.50577287001436e-06
408.05     -1.95334e-06    2.64057800719842e-06
508.05     -2.897616e-05   2.86504077089664e-06
608.05     1.522896e-05    2.88188071975576e-06
